,xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
19,188,46,236,106,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-19.png
20,261,88,303,130,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-20.png
21,368,112,400,151,with_mask,maksssksksss103,400,300,maksssksksss103.xml,maksssksksss103.png,maksssksksss103-21.png
22,42,109,66,140,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-22.png
23,2,105,22,125,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-23.png
24,30,88,46,105,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-24.png
25,133,108,174,152,with_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-25.png
26,221,101,256,139,with_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-26.png
27,304,131,331,158,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-27.png
28,83,85,96,96,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-28.png
29,167,91,180,108,without_mask,maksssksksss104,400,267,maksssksksss104.xml,maksssksksss104.png,maksssksksss104-29.png
30,178,143,213,202,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-30.png
31,280,103,312,145,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-31.png
32,320,79,352,119,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-32.png
33,365,53,390,84,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-33.png
34,243,36,267,67,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-34.png
35,115,47,146,87,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-35.png
36,33,88,65,131,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-36.png
37,29,202,65,265,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-37.png
38,26,34,52,66,with_mask,maksssksksss105,400,267,maksssksksss105.xml,maksssksksss105.png,maksssksksss105-38.png
39,154,51,423,391,with_mask,maksssksksss106,600,399,maksssksksss106.xml,maksssksksss106.png,maksssksksss106-39.png
40,121,192,212,312,with_mask,maksssksksss107,301,400,maksssksksss107.xml,maksssksksss107.png,maksssksksss107-40.png
41,155,29,180,51,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-41.png
42,206,35,228,58,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-42.png
43,332,67,346,81,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-43.png
44,362,68,376,82,with_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-44.png
45,267,72,278,83,without_mask,maksssksksss108,400,225,maksssksksss108.xml,maksssksksss108.png,maksssksksss108-45.png
46,216,92,372,251,with_mask,maksssksksss109,400,400,maksssksksss109.xml,maksssksksss109.png,maksssksksss109-46.png
47,23,114,77,172,mask_incorrectly_worn,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-47.png
48,147,157,200,211,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-48.png
49,201,191,230,234,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-49.png
50,243,192,293,247,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-50.png
51,309,182,346,224,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-51.png
52,249,108,276,140,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-52.png
53,275,99,303,128,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-53.png
54,195,90,214,113,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-54.png
55,214,76,237,99,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-55.png
56,232,50,247,67,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-56.png
57,266,45,281,61,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-57.png
58,207,47,222,63,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-58.png
59,227,36,239,48,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-59.png
60,253,33,267,45,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-60.png
61,290,31,304,41,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-61.png
62,362,32,372,40,with_mask,maksssksksss11,400,267,maksssksksss11.xml,maksssksksss11.png,maksssksksss11-62.png
63,6,111,43,148,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-63.png
64,22,20,49,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-64.png
65,48,12,70,37,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-65.png
66,113,1,136,24,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-66.png
67,78,17,106,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-67.png
68,97,66,115,86,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-68.png
69,70,111,104,145,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-69.png
70,42,157,85,186,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-70.png
71,59,205,111,264,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-71.png
72,116,155,172,198,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-72.png
73,112,85,149,118,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-73.png
74,124,27,153,47,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-74.png
75,163,29,189,53,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-75.png
76,186,18,215,44,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-76.png
77,178,77,214,111,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-77.png
78,216,57,241,84,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-78.png
79,237,15,268,46,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-79.png
80,281,19,308,40,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-80.png
81,286,60,311,84,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-81.png
82,253,94,293,135,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-82.png
83,236,161,273,195,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-83.png
84,282,194,322,232,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-84.png
85,314,115,350,152,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-85.png
86,335,27,359,52,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-86.png
87,381,14,401,34,without_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-87.png
88,356,72,385,98,with_mask,maksssksksss110,400,267,maksssksksss110.xml,maksssksksss110.png,maksssksksss110-88.png
89,17,182,35,202,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-89.png
90,17,101,25,116,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-90.png
91,48,98,61,113,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-91.png
92,17,127,27,144,without_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-92.png
93,5,133,14,152,without_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-93.png
94,109,59,132,82,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-94.png
95,140,64,161,85,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-95.png
96,184,68,207,93,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-96.png
97,248,73,267,95,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-97.png
98,291,65,314,90,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-98.png
99,383,96,397,110,with_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-99.png
100,383,125,398,145,without_mask,maksssksksss111,400,268,maksssksksss111.xml,maksssksksss111.png,maksssksksss111-100.png
101,90,84,138,131,mask_incorrectly_worn,maksssksksss112,267,400,maksssksksss112.xml,maksssksksss112.png,maksssksksss112-101.png
102,133,108,148,124,with_mask,maksssksksss113,400,267,maksssksksss113.xml,maksssksksss113.png,maksssksksss113-102.png
103,203,117,214,131,with_mask,maksssksksss113,400,267,maksssksksss113.xml,maksssksksss113.png,maksssksksss113-103.png
104,294,115,308,130,with_mask,maksssksksss113,400,267,maksssksksss113.xml,maksssksksss113.png,maksssksksss113-104.png
105,228,119,241,134,without_mask,maksssksksss113,400,267,maksssksksss113.xml,maksssksksss113.png,maksssksksss113-105.png
106,4,83,75,161,without_mask,maksssksksss114,400,225,maksssksksss114.xml,maksssksksss114.png,maksssksksss114-106.png
107,80,58,153,141,with_mask,maksssksksss114,400,225,maksssksksss114.xml,maksssksksss114.png,maksssksksss114-107.png
108,24,67,47,91,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-108.png
109,79,91,103,112,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-109.png
110,109,80,128,101,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-110.png
111,137,88,159,110,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-111.png
112,179,107,205,134,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-112.png
113,254,105,278,128,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-113.png
114,221,78,244,100,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-114.png
115,172,86,183,107,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-115.png
116,185,85,209,104,with_mask,maksssksksss115,400,267,maksssksksss115.xml,maksssksksss115.png,maksssksksss115-116.png
117,116,88,150,122,with_mask,maksssksksss116,400,225,maksssksksss116.xml,maksssksksss116.png,maksssksksss116-117.png
118,160,79,193,118,with_mask,maksssksksss116,400,225,maksssksksss116.xml,maksssksksss116.png,maksssksksss116-118.png
119,235,43,272,87,with_mask,maksssksksss116,400,225,maksssksksss116.xml,maksssksksss116.png,maksssksksss116-119.png
120,304,68,336,102,with_mask,maksssksksss116,400,225,maksssksksss116.xml,maksssksksss116.png,maksssksksss116-120.png
121,379,61,399,96,with_mask,maksssksksss116,400,225,maksssksksss116.xml,maksssksksss116.png,maksssksksss116-121.png
122,131,224,227,346,with_mask,maksssksksss117,301,400,maksssksksss117.xml,maksssksksss117.png,maksssksksss117-122.png
123,138,79,176,116,with_mask,maksssksksss118,400,267,maksssksksss118.xml,maksssksksss118.png,maksssksksss118-123.png
124,217,70,255,107,with_mask,maksssksksss118,400,267,maksssksksss118.xml,maksssksksss118.png,maksssksksss118-124.png
125,54,92,82,120,with_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-125.png
126,132,47,153,71,with_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-126.png
127,242,94,268,125,with_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-127.png
128,254,51,266,64,with_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-128.png
129,263,79,275,92,with_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-129.png
130,302,81,330,107,without_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-130.png
131,352,45,377,67,without_mask,maksssksksss119,400,289,maksssksksss119.xml,maksssksksss119.png,maksssksksss119-131.png
132,72,71,90,88,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-132.png
133,119,70,137,88,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-133.png
134,163,76,185,96,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-134.png
135,36,70,46,82,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-135.png
136,120,55,132,68,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-136.png
137,94,59,102,69,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-137.png
138,153,61,171,81,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-138.png
139,335,70,353,87,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-139.png
140,273,58,290,75,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-140.png
141,232,61,249,78,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-141.png
142,298,61,312,84,without_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-142.png
143,354,54,365,68,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-143.png
144,38,82,45,98,with_mask,maksssksksss12,400,272,maksssksksss12.xml,maksssksksss12.png,maksssksksss12-144.png
145,59,185,183,336,with_mask,maksssksksss120,301,400,maksssksksss120.xml,maksssksksss120.png,maksssksksss120-145.png
146,11,48,41,75,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-146.png
147,91,41,121,72,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-147.png
148,176,56,204,83,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-148.png
149,239,56,266,81,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-149.png
150,301,62,329,87,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-150.png
151,343,74,368,97,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-151.png
152,387,82,400,107,without_mask,maksssksksss121,400,300,maksssksksss121.xml,maksssksksss121.png,maksssksksss121-152.png
153,201,38,345,213,with_mask,maksssksksss122,400,267,maksssksksss122.xml,maksssksksss122.png,maksssksksss122-153.png
154,92,106,191,224,with_mask,maksssksksss123,400,301,maksssksksss123.xml,maksssksksss123.png,maksssksksss123-154.png
155,227,129,321,229,with_mask,maksssksksss123,400,301,maksssksksss123.xml,maksssksksss123.png,maksssksksss123-155.png
156,91,146,143,204,with_mask,maksssksksss124,400,271,maksssksksss124.xml,maksssksksss124.png,maksssksksss124-156.png
157,239,126,290,182,with_mask,maksssksksss124,400,271,maksssksksss124.xml,maksssksksss124.png,maksssksksss124-157.png
158,378,146,399,171,with_mask,maksssksksss124,400,271,maksssksksss124.xml,maksssksksss124.png,maksssksksss124-158.png
159,1,170,20,196,without_mask,maksssksksss124,400,271,maksssksksss124.xml,maksssksksss124.png,maksssksksss124-159.png
160,333,133,360,170,without_mask,maksssksksss124,400,271,maksssksksss124.xml,maksssksksss124.png,maksssksksss124-160.png
161,118,151,216,279,without_mask,maksssksksss125,301,400,maksssksksss125.xml,maksssksksss125.png,maksssksksss125-161.png
162,106,45,158,104,with_mask,maksssksksss126,267,400,maksssksksss126.xml,maksssksksss126.png,maksssksksss126-162.png
163,194,62,215,88,with_mask,maksssksksss126,267,400,maksssksksss126.xml,maksssksksss126.png,maksssksksss126-163.png
164,226,2,267,97,without_mask,maksssksksss126,267,400,maksssksksss126.xml,maksssksksss126.png,maksssksksss126-164.png
165,98,46,130,80,with_mask,maksssksksss127,267,400,maksssksksss127.xml,maksssksksss127.png,maksssksksss127-165.png
166,93,183,194,295,without_mask,maksssksksss128,301,400,maksssksksss128.xml,maksssksksss128.png,maksssksksss128-166.png
167,106,69,124,89,without_mask,maksssksksss129,400,295,maksssksksss129.xml,maksssksksss129.png,maksssksksss129-167.png
168,149,30,168,53,without_mask,maksssksksss129,400,295,maksssksksss129.xml,maksssksksss129.png,maksssksksss129-168.png
169,246,40,271,69,with_mask,maksssksksss129,400,295,maksssksksss129.xml,maksssksksss129.png,maksssksksss129-169.png
170,28,54,44,71,with_mask,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-170.png
171,98,62,114,80,with_mask,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-171.png
172,162,51,194,89,mask_incorrectly_worn,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-172.png
173,293,60,313,81,with_mask,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-173.png
174,352,53,373,71,with_mask,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-174.png
175,229,53,241,72,with_mask,maksssksksss13,400,226,maksssksksss13.xml,maksssksksss13.png,maksssksksss13-175.png
176,7,104,46,147,mask_incorrectly_worn,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-176.png
177,162,58,208,112,mask_incorrectly_worn,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-177.png
178,304,95,332,141,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-178.png
179,198,95,223,136,without_mask,maksssksksss130,332,400,maksssksksss130.xml,maksssksksss130.png,maksssksksss130-179.png
180,65,63,110,112,with_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-180.png
181,127,31,166,76,with_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-181.png
182,257,55,284,86,without_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-182.png
183,284,66,321,107,with_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-183.png
184,252,125,295,167,without_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-184.png
185,345,93,363,116,with_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-185.png
186,236,74,256,99,without_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-186.png
187,216,63,237,83,without_mask,maksssksksss131,400,267,maksssksksss131.xml,maksssksksss131.png,maksssksksss131-187.png
188,106,72,190,182,mask_incorrectly_worn,maksssksksss132,306,400,maksssksksss132.xml,maksssksksss132.png,maksssksksss132-188.png
189,100,179,221,318,with_mask,maksssksksss133,301,400,maksssksksss133.xml,maksssksksss133.png,maksssksksss133-189.png
190,92,19,117,50,with_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-190.png
191,156,22,177,48,without_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-191.png
192,179,24,197,47,with_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-192.png
193,183,74,205,100,with_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-193.png
194,269,70,285,89,with_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-194.png
195,343,15,359,34,without_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-195.png
196,302,43,318,59,with_mask,maksssksksss134,400,225,maksssksksss134.xml,maksssksksss134.png,maksssksksss134-196.png
197,49,157,144,225,with_mask,maksssksksss135,400,225,maksssksksss135.xml,maksssksksss135.png,maksssksksss135-197.png
198,151,67,270,198,with_mask,maksssksksss135,400,225,maksssksksss135.xml,maksssksksss135.png,maksssksksss135-198.png
199,100,105,152,158,with_mask,maksssksksss136,267,400,maksssksksss136.xml,maksssksksss136.png,maksssksksss136-199.png
200,38,143,53,161,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-200.png
201,76,146,95,164,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-201.png
202,114,142,131,163,with_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-202.png
203,158,165,175,185,with_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-203.png
204,217,153,241,174,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-204.png
205,283,158,310,181,without_mask,maksssksksss137,400,400,maksssksksss137.xml,maksssksksss137.png,maksssksksss137-205.png
206,51,144,128,239,with_mask,maksssksksss138,400,267,maksssksksss138.xml,maksssksksss138.png,maksssksksss138-206.png
207,147,169,217,233,with_mask,maksssksksss138,400,267,maksssksksss138.xml,maksssksksss138.png,maksssksksss138-207.png
208,224,92,309,186,with_mask,maksssksksss138,400,267,maksssksksss138.xml,maksssksksss138.png,maksssksksss138-208.png
209,2,28,19,46,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-209.png
210,23,36,45,59,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-210.png
211,30,71,51,92,without_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-211.png
212,4,177,35,209,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-212.png
213,93,15,117,34,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-213.png
214,99,74,122,100,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-214.png
215,56,132,79,162,mask_incorrectly_worn,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-215.png
216,36,152,65,183,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-216.png
217,138,191,165,221,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-217.png
218,182,13,209,36,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-218.png
219,188,55,213,80,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-219.png
220,196,146,219,168,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-220.png
221,213,164,243,193,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-221.png
222,253,13,277,35,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-222.png
223,246,73,268,98,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-223.png
224,286,10,314,38,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-224.png
225,320,1,341,15,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-225.png
226,345,34,372,57,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-226.png
227,358,116,388,141,with_mask,maksssksksss139,400,225,maksssksksss139.xml,maksssksksss139.png,maksssksksss139-227.png
228,152,192,239,319,without_mask,maksssksksss14,301,400,maksssksksss14.xml,maksssksksss14.png,maksssksksss14-228.png
229,37,74,188,247,with_mask,maksssksksss140,400,267,maksssksksss140.xml,maksssksksss140.png,maksssksksss140-229.png
230,210,114,336,255,with_mask,maksssksksss140,400,267,maksssksksss140.xml,maksssksksss140.png,maksssksksss140-230.png
